passenger_id,pclass,sex,age,fare,sibsp,survived
1,2,male,42.9,17.3,0,0
2,1,male,,60.61,0,1
3,1,male,27.6,75.89,3,0
4,3,male,30.3,14.18,0,1
5,1,female,,83.15,0,1
6,3,male,8.4,12.03,0,1
7,3,male,40.8,5.0,0,0
8,2,female,30.4,9.91,1,1
9,3,male,38.6,12.04,2,0
10,3,female,46.7,21.36,1,1
11,1,female,52.0,74.34,0,1
12,1,female,31.5,71.02,0,1
13,1,male,42.7,95.8,0,1
14,1,female,53.8,75.09,0,0
15,1,female,41.2,62.96,0,0
16,1,female,30.8,66.74,0,1
17,1,male,29.8,100.32,0,1
18,3,male,3.9,5.0,0,1
19,3,male,29.0,21.73,1,0
20,1,male,43.1,66.24,0,1
21,1,male,30.6,103.36,0,0
22,3,female,39.1,33.37,0,1
23,3,male,20.5,5.0,2,1
24,1,female,,81.77,0,1
25,3,female,9.9,36.06,3,1
26,3,male,31.4,15.09,0,0
27,3,male,48.7,14.84,0,0
28,2,male,44.7,33.59,1,0
29,3,male,,5.0,0,0
30,3,male,7.5,25.19,2,0
31,3,female,12.3,5.0,0,1
32,3,male,27.1,5.0,1,0
33,2,male,49.2,37.55,0,0
34,2,female,23.8,8.33,1,0
35,2,female,22.4,46.43,0,1
36,3,male,1.4,23.29,0,0
37,1,female,39.7,48.79,2,1
38,3,female,39.8,25.27,1,0
39,3,male,27.6,21.0,0,0
40,1,female,17.5,67.56,0,1
41,3,male,,13.72,2,1
42,3,male,20.0,36.76,0,1
43,2,female,33.9,15.31,0,1
44,3,female,15.0,5.0,1,0
45,3,female,20.3,13.46,0,1
46,3,female,27.2,25.68,1,1
47,3,male,9.5,28.49,2,1
48,3,male,39.5,24.01,1,0
49,2,male,47.1,6.59,2,0
50,3,female,24.5,5.0,1,0
51,1,male,,74.95,0,0
52,2,male,37.0,14.07,0,0
53,3,male,25.6,12.28,1,1
54,3,female,16.4,34.74,0,1
55,3,male,40.5,5.0,2,0
56,3,female,32.1,30.05,0,0
57,3,male,,5.0,0,0
58,3,male,36.1,40.26,3,0
59,3,female,12.9,8.03,1,1
60,3,male,8.6,27.76,0,0
61,3,female,,8.27,3,0
62,2,male,39.4,36.45,1,0
63,2,female,,44.41,2,1
64,3,female,,22.11,1,1
65,2,male,46.9,39.88,0,0
66,2,female,14.3,21.95,0,1
67,3,female,,32.32,1,1
68,3,male,35.3,5.0,1,0
69,3,female,16.4,43.16,0,0
70,3,female,30.5,36.1,0,1
71,3,female,30.8,5.0,0,0
72,1,female,,49.91,3,1
73,3,male,7.7,11.6,0,1
74,1,female,13.0,74.25,0,1
75,1,female,51.9,41.47,2,1
76,1,male,5.9,86.02,0,1
77,3,female,27.2,10.55,1,0
78,1,male,,64.74,0,1
79,3,female,48.7,5.0,1,0
80,3,female,15.6,5.0,3,0
81,2,male,28.2,5.0,1,0
82,3,male,20.9,5.0,1,0
83,3,female,20.4,26.15,0,1
84,3,male,32.8,47.86,1,0
85,3,male,15.4,8.92,3,0
86,3,male,32.0,11.6,1,0
87,2,female,37.8,28.08,0,1
88,2,male,,19.47,3,0
89,3,male,31.0,6.44,0,0
90,1,male,37.5,94.3,0,1
91,3,female,42.8,6.72,0,0
92,2,female,,9.08,0,1
93,2,female,29.1,29.43,0,0
94,2,male,,20.19,3,0
95,1,male,14.6,87.33,3,1
96,3,male,26.3,5.0,3,0
97,3,female,18.0,5.0,0,1
98,3,female,,19.82,0,1
99,3,female,,5.0,3,0
100,3,female,51.3,32.79,1,0
101,2,female,21.8,7.24,0,1
102,3,female,,53.88,2,0
103,1,female,,95.65,1,1
104,3,female,47.0,23.64,0,0
105,2,male,32.1,38.35,1,0
106,1,female,36.1,60.46,1,1
107,2,female,33.9,11.61,1,0
108,2,male,28.2,5.0,0,0
109,1,male,34.1,82.96,0,1
110,3,female,29.9,6.11,0,0
111,1,female,25.6,57.2,0,1
112,2,male,,30.58,1,0
113,3,male,41.9,5.0,1,0
114,2,female,56.2,12.3,0,1
115,2,female,18.0,34.06,0,1
116,3,male,38.3,5.0,0,0
117,3,female,45.7,14.51,0,1
118,3,male,30.7,6.86,0,0
119,1,female,26.6,47.98,0,1
120,1,male,,70.93,0,0
121,3,male,19.0,20.39,3,0
122,2,male,25.0,5.0,2,0
123,3,male,44.3,5.0,1,0
124,3,male,7.2,8.48,1,1
125,2,female,26.6,5.0,0,1
126,1,female,19.3,118.3,0,1
127,1,male,30.4,70.69,0,1
128,3,male,35.5,13.63,0,0
129,1,male,20.7,74.01,0,1
130,1,male,,97.5,1,1
131,2,male,40.0,17.96,0,0
132,2,female,61.3,36.19,1,1
133,3,male,22.5,57.1,1,0
134,1,male,,99.34,1,1
135,1,female,,90.46,2,1
136,3,male,27.2,30.45,0,0
137,1,male,,57.06,0,1
138,3,female,,14.1,3,1
139,3,female,32.6,5.0,2,1
140,3,female,12.5,7.07,0,0
141,2,female,39.6,30.89,0,0
142,2,male,40.0,34.26,0,0
143,3,male,42.6,13.13,1,0
144,3,male,72.2,15.05,1,0
145,3,female,16.6,25.13,0,1
146,2,male,28.6,35.01,1,0
147,3,male,26.9,5.0,1,1
148,1,female,19.4,58.84,0,1
149,3,male,37.5,17.77,0,1
150,2,female,42.0,17.43,0,1
151,3,male,19.5,20.84,0,1
152,2,male,53.6,22.0,1,0
153,1,female,17.9,98.2,0,1
154,3,male,37.8,5.0,0,0
155,3,male,19.1,26.13,0,0
156,3,male,23.3,5.0,0,0
157,3,female,38.1,17.61,0,0
158,2,male,19.0,37.81,0,0
159,1,male,11.7,74.82,0,1
160,3,male,36.8,5.0,0,0
161,2,male,30.0,44.55,1,1
162,3,female,,13.89,3,0
163,3,female,18.1,5.0,0,1
164,3,female,33.9,28.01,0,1
165,3,female,18.1,10.55,0,1
166,3,female,25.3,5.0,3,1
167,2,female,13.8,8.9,1,1
168,2,male,,5.0,0,0
169,3,male,12.1,9.03,0,0
170,2,female,24.4,5.0,1,1
171,3,female,24.6,8.84,0,1
172,3,female,49.4,19.41,0,1
173,2,female,29.5,30.63,2,0
174,3,male,6.7,24.86,0,0
175,3,male,,27.44,0,0
176,3,female,29.5,24.64,0,1
177,3,male,18.5,20.47,0,1
178,1,male,23.2,96.47,2,0
179,2,female,20.1,57.57,2,1
180,3,female,20.5,13.58,2,0
181,1,male,,108.84,0,1
182,3,female,51.9,5.0,1,1
183,3,male,23.7,14.06,0,0
184,3,female,33.3,21.97,1,0
185,2,male,43.0,11.7,0,0
186,3,male,25.6,33.14,0,0
187,2,male,24.8,24.12,0,1
188,2,male,38.8,31.4,1,1
189,2,male,40.6,54.46,3,1
190,2,male,4.9,47.88,0,1
191,3,male,16.0,28.97,1,0
192,3,male,22.2,5.0,3,1
193,3,female,21.0,5.1,0,0
194,3,male,30.4,29.32,0,0
195,2,female,,11.42,0,1
