order_id,order_date,city,category,product,quantity,unit_price,total_amount,customer_id
1347,2024-11-23,LA,Toys,Puzzle,1,19.38,19.38,101
2286,2025-03-15,CHI,Grocery,Snack Box,2,9.57,19.14,16
2842,2024-05-01,SF,Grocery,Coffee Beans,1,12.29,12.29,467
1898,2024-01-11,SF,Electronics,Laptop,2,1020.12,2040.24,176
1893,2024-12-18,CHI,Clothing,Jacket,1,127.55,127.55,268
1749,2024-12-17,LA,Toys,Action Figure,1,12.71,12.71,50
2263,2025-10-28,SF,Clothing,Jacket,1,102.48,102.48,398
104,2024-11-25,SF,Electronics,Laptop,2,963.32,1926.64,296
401,2024-12-30,CHI,Home,Blender,1,39.48,39.48,263
1488,2025-05-15,NY,Electronics,Phone Case,1,15.17,15.17,190
865,2025-09-03,SF,Home,Blender,4,49.28,197.12,89
2521,2025-12-24,NY,Grocery,Snack Box,5,10.18,50.9,494
804,2024-11-20,SF,Home,Lamp,2,29.27,58.54,442
1833,2024-11-16,LA,Toys,Action Figure,3,12.0,36.0,117
2374,2024-11-21,CHI,Toys,Board Game,1,25.16,25.16,16
134,2025-12-24,LA,Electronics,Phone Case,1,15.66,15.66,47
2616,2025-12-29,SF,Home,Cookware Set,4,89.15,356.6,276
2224,2025-12-18,LA,Clothing,T-Shirt,2,18.94,37.88,350
637,2024-12-21,CHI,Clothing,Jeans,3,62.95,188.85,376
618,2024-08-20,CHI,Grocery,Olive Oil,2,24.7,49.4,158
2011,2025-11-11,SF,Grocery,Olive Oil,1,20.93,20.93,272
2767,2025-06-24,SF,Electronics,Phone Case,1,13.46,13.46,222
363,2025-08-02,SF,Home,Lamp,2,28.54,57.08,458
2968,2024-01-06,CHI,Grocery,Coffee Beans,,13.64,27.28,489
2912,2025-10-14,SF,Grocery,Coffee Beans,4,13.42,53.68,42
1014,2025-08-13,LA,Grocery,Coffee Beans,2,12.71,25.42,385
13,2024-08-12,LA,Grocery,Olive Oil,1,24.63,24.63,261
1686,2025-11-14,NY,Home,Blender,1,48.82,48.82,277
1089,2024-12-19,CHI,Grocery,Coffee Beans,1,14.28,14.28,196
1010,2025-04-16,CHI,Grocery,Coffee Beans,2,15.1,30.2,77
1119,2025-01-26,LA,Home,Blender,2,46.47,92.94,258
2218,2025-07-05,SF,Grocery,Snack Box,3,9.75,29.25,442
2173,2024-11-08,CHI,Grocery,Coffee Beans,1,15.99,15.99,105
