sqft,bedrooms,age,distance_km,price
1633.4,2,19.7,1.45,299210.19
2539.8,5,10.7,2.58,461206.82
1963.6,2,4.5,12.74,339021.56
1281.3,6,29.1,1.86,268338.71
2549.4,1,48.8,1.4,408378.71
1004.9,1,28.5,16.81,144648.41
2887.0,1,29.1,19.17,418311.01
719.8,1,31.0,14.89,126997.51
2361.0,3,23.3,27.7,352810.0
1129.2,2,4.1,9.01,226750.97
2232.9,3,36.5,8.64,375942.86
1963.4,3,7.6,14.67,338163.12
637.2,6,3.9,16.74,175731.53
1690.4,3,29.7,17.4,248122.46
2096.7,1,47.2,14.22,305548.86
2955.2,6,28.9,20.44,484737.71
2059.7,6,19.3,20.06,379937.38
1088.2,1,24.7,6.55,192743.99
1506.0,6,12.4,11.73,306789.12
2072.2,5,13.9,4.11,387049.85
2006.8,5,13.9,12.46,345301.4
3852.1,2,4.1,4.54,659563.18
2804.8,1,24.2,17.67,425866.64
1966.3,3,30.5,9.56,332792.0
939.2,5,47.5,19.65,162513.43
3548.4,6,39.9,11.77,570272.79
1896.4,1,24.1,12.01,316983.42
2042.2,1,17.0,1.58,389947.45
500.8,2,26.8,28.47,62394.27
1227.8,4,7.4,7.57,249343.91
1715.9,3,23.7,3.46,270209.08
2181.4,3,4.3,3.07,400741.62
1699.2,3,23.9,20.76,264102.53
3832.1,3,7.3,16.3,615314.96
594.6,5,14.9,19.29,163074.17
2314.4,2,17.8,6.68,405250.07
2395.5,5,16.5,6.69,449130.45
3484.2,2,40.9,22.2,475261.98
1293.6,5,24.6,21.93,256915.59
2152.8,2,34.6,28.7,306104.08
2065.3,6,49.4,28.65,315990.16
1294.0,2,16.9,14.48,229582.42
3948.4,5,42.0,14.38,614470.17
796.7,6,6.0,11.66,179348.32
2990.2,2,23.9,5.36,491984.36
3302.9,6,19.8,12.04,552433.97
3813.8,6,7.9,29.79,635880.51
2128.7,6,7.3,24.8,377326.9
3931.1,6,46.9,4.68,649829.88
3297.7,6,32.5,15.8,546148.53
3767.7,4,49.3,5.84,606512.83
1244.7,5,12.0,17.59,239356.75
1407.8,4,41.7,1.83,262117.58
2818.7,5,21.0,27.53,418944.66
2255.8,5,7.6,15.32,419765.72
2629.9,2,8.6,14.2,410575.14
3038.2,5,3.1,20.47,495419.26
3217.7,5,2.8,5.74,565602.74
647.7,1,25.4,16.85,105219.59
2051.4,5,48.7,18.18,299359.21
1197.9,3,22.6,16.0,174194.28
2947.3,3,46.1,26.78,436529.44
1209.1,4,6.9,3.65,253135.5
1342.2,1,10.6,9.08,236731.79
928.2,2,47.0,19.3,125403.87
980.4,4,11.0,28.58,179664.4
1893.9,4,8.1,20.03,331363.91
3979.3,4,17.0,5.87,684740.58
1614.8,6,18.3,10.14,294714.67
1845.2,5,31.2,15.37,327090.9
725.0,2,48.6,3.14,133181.78
3226.5,3,37.8,24.59,488799.02
3473.6,6,40.9,7.76,602641.49
2497.1,6,16.4,8.37,481876.75
3298.6,2,21.3,2.17,563129.45
3305.7,1,30.4,6.67,510144.95
1425.6,1,22.7,10.17,202935.79
1437.5,2,2.2,21.29,230104.15
3783.4,2,13.1,5.43,635401.05
2358.8,2,14.5,15.0,373497.02
1122.6,3,40.2,29.83,159396.27
2269.8,2,25.7,7.37,375823.92
2064.7,6,40.9,12.97,332574.4
1875.8,5,15.4,6.46,357041.55
1303.5,2,41.6,21.2,179794.49
1716.4,1,41.8,0.43,271608.27
2689.1,3,21.5,1.66,455347.63
2270.8,3,29.9,20.78,342453.93
658.3,2,7.9,13.37,132513.33
3904.2,5,16.2,1.03,708814.56
3588.4,2,17.8,0.03,581401.58
2259.7,2,12.4,23.29,363972.73
818.0,1,7.2,17.6,131781.11
2703.8,1,29.3,15.88,418225.44
3126.9,6,44.6,23.52,475328.44
3022.4,4,7.5,21.72,479387.4
2751.3,1,41.2,21.45,380962.31
2953.7,5,7.0,15.71,504760.98
2265.3,1,41.3,17.52,349466.48
2926.6,2,4.3,1.26,488903.34
2729.9,1,18.8,13.54,430117.99
2360.1,2,24.5,0.1,405155.08
3291.9,6,46.6,26.94,527973.94
3110.0,4,12.6,2.23,551961.45
1429.5,6,37.8,6.92,270517.8
3459.4,1,24.0,20.51,505247.37
3184.4,5,31.6,5.95,529539.09
2780.4,6,15.2,17.03,472916.61
543.6,1,24.3,29.18,72286.0
2213.7,6,25.8,13.94,399658.74
2132.2,1,49.7,16.47,304749.73
2155.3,3,22.9,24.6,341627.91
3888.4,4,49.7,11.61,640276.65
761.1,1,7.1,15.72,119715.68
3834.6,2,30.2,18.95,581799.16
1778.2,4,44.9,14.58,298855.68
586.9,1,47.5,20.45,49112.3
1956.6,4,15.8,25.21,333974.92
506.1,3,42.0,3.6,136359.24
3655.5,3,12.7,1.95,603721.1
1865.6,5,3.8,27.76,322299.65
1482.2,1,41.7,8.57,202389.96
3774.6,2,48.6,13.09,560817.48
3248.0,4,44.2,24.36,516785.94
2708.1,5,27.5,21.59,464263.9
2078.0,2,32.2,8.59,346199.23
671.4,5,6.4,14.17,160288.02
3086.6,6,13.0,19.68,533716.28
1552.9,5,33.4,3.59,295312.27
2252.1,4,27.5,13.59,373978.51
