customer_id,recency_days,frequency,monetary,avg_basket_size
1,18,0,249.78,1.15
2,125,7,519.54,2.2
3,117,9,353.37,3.25
4,221,4,517.94,3.31
5,120,12,461.49,3.14
6,26,18,1477.25,4.9
7,108,4,501.07,2.32
8,27,5,88.26,1
9,80,10,385.35,2.79
10,6,27,2062.19,4.52
11,4,30,1019.47,4.56
12,174,3,642.49,1.98
13,21,1,164.58,1
14,198,4,809.6,3.36
15,10,1,1777.8,4.3
16,0,16,1968.87,5.13
17,95,6,401.52,2.41
18,0,7,864.7,5.65
19,160,5,635.52,2.22
20,0,0,1473.25,4.66
21,58,6,363.34,3.3
22,57,7,611.39,2.96
23,0,18,1886.69,5.21
24,51,2,454.63,2.9
25,13,12,10,5.16
26,124,6,148.42,2.57
27,164,6,717.79,2.46
28,133,5,236.37,2.5
29,8,30,1680.2,4.08
30,97,1,241.44,1.63
31,8,12,648.97,4.59
32,12,5,99.5,1
33,4,16,1168.1,3.91
34,55,2,246.33,3.2
35,24,0,222.34,1
36,47,1,70.72,1.42
37,19,3,732.15,4.63
38,19,0,166.26,1
39,6,3,164.3,1
40,26,2,62.18,1.81
41,5,8,1879.88,4.68
42,14,19,1285.62,4.85
43,18,19,957.99,5.06
44,189,9,803.92,2.0
45,6,19,1608.33,3.99
46,7,15,1015.41,4.35
47,285,2,280.07,2.53
48,15,2,81.02,1.06
49,132,6,193.01,3.52
50,18,23,1218.41,4.28
51,28,0,107.66,1.68
52,17,16,2345.18,4.18
53,169,10,392.79,2.01
54,19,17,1286.44,5.17
55,3,12,1194.63,5.51
56,129,7,306.45,3.89
57,90,9,561.1,3.99
58,2,12,1032.64,3.86
59,33,3,124.86,2.2
60,7,26,993.96,4.63
61,17,1,148.91,2.16
62,120,4,566.09,2.6
63,0,12,1059.79,3.99
64,65,9,399.39,2.18
65,11,15,1749.66,3.71
66,156,8,693.95,1.82
67,114,3,543.9,2.3
68,188,3,646.35,3.1
69,86,6,290.59,1
70,86,5,398.08,2.15
71,36,1,185.85,1.87
72,115,10,286.46,2.68
73,25,2,131.77,1.66
74,0,12,1570.71,4.28
75,148,6,128.63,2.09
76,21,21,1761.85,5.19
77,243,2,486.63,1.68
78,177,7,493.42,1.97
79,0,26,1698.82,5.36
80,34,3,178.2,1.67
81,188,8,424.58,2.06
82,140,8,417.45,2.61
83,80,4,600.11,3.57
84,22,1,106.96,1.1
85,4,26,1147.61,4.98
86,15,8,1557.49,3.9
87,47,6,166.14,2.06
88,11,19,1436.78,4.66
89,36,7,490.89,2.5
90,65,4,294.03,2.56
91,14,23,717.42,5.31
92,9,23,1590.98,4.92
93,7,18,1775.62,4.24
94,71,2,53.3,2.76
95,6,12,1074.94,3.64
96,10,19,1421.73,4.74
97,17,16,1212.71,5.12
98,8,6,1569.05,4.88
99,34,1,10,2.19
100,22,22,1287.25,4.6
101,251,3,547.81,2.22
102,17,12,1534.51,4.42
103,17,20,1714.1,4.67
104,9,20,2541.8,4.87
105,1,17,1218.83,4.45
106,17,23,1923.07,4.12
107,91,7,210.12,2.33
108,120,6,532.61,1
109,0,22,1435.52,4.79
110,21,24,1561.08,4.03
111,15,20,1801.72,4.82
112,180,4,580.83,1.82
113,8,24,1774.37,4.86
114,10,8,1909.27,3.97
115,9,1,188.67,1
116,83,1,324.64,3.59
117,12,19,1566.65,4.91
118,19,2,157.18,1
119,14,19,856.17,5.43
120,72,5,243.04,2.75
121,20,18,1729.42,3.64
122,5,17,1279.39,3.87
123,94,5,236.46,3.72
124,121,5,651.51,1
125,257,3,891.99,2.67
126,30,24,1964.91,4.66
127,223,2,634.53,2.47
128,3,15,1402.22,4.05
129,10,38,1860.06,3.51
130,153,4,713.97,1.39
131,11,20,1209.56,3.24
132,12,11,1040.93,3.41
133,23,0,227.68,1.55
134,203,6,580.79,2.13
135,3,23,1271.68,3.92
136,119,0,284.53,1.66
137,196,1,348.94,1.5
138,174,4,760.08,2.29
139,185,0,439.23,3.29
140,9,15,1413.97,3.61
141,128,3,457.82,1.66
142,198,6,717.46,1.73
143,59,6,474.3,2.51
144,0,5,1912.63,4.06
145,19,25,741.5,4.19
146,14,14,1281.17,4.95
147,25,1,75.55,1
148,19,21,1836.64,3.42
149,9,2,11.35,1.27
150,7,27,1677.09,4.42
151,17,24,1176.7,4.27
152,0,12,1139.22,3.6
153,0,19,1771.44,4.36
154,45,0,375.32,3.42
155,75,7,375.35,2.83
156,16,26,1986.0,5.12
157,28,0,116.08,1
158,31,0,396.4,2.67
159,12,24,757.61,4.73
160,29,2,89.3,1.34
161,3,13,1191.8,3.86
162,101,6,362.29,1.54
163,16,23,962.12,5.28
