date,sales
2024-01-01,100.76
2024-01-02,105.15
2024-01-03,89.85
2024-01-04,108.39
2024-01-05,103.53
2024-01-06,123.66
2024-01-07,146.1
2024-01-08,102.31
2024-01-09,95.86
2024-01-10,104.19
2024-01-11,110.51
2024-01-12,106.4
2024-01-13,131.5
2024-01-14,124.16
2024-01-15,99.17
2024-01-16,93.74
2024-01-17,88.74
2024-01-18,90.48
2024-01-19,94.68
2024-01-20,125.94
2024-01-21,131.62
2024-01-22,100.59
2024-01-23,98.85
2024-01-24,89.77
2024-01-25,102.96
2024-01-26,110.65
2024-01-27,134.91
2024-01-28,127.28
2024-01-29,101.0
2024-01-30,83.23
2024-01-31,97.47
2024-02-01,87.08
2024-02-02,98.44
2024-02-03,138.76
2024-02-04,117.49
2024-02-05,111.64
2024-02-06,103.02
2024-02-07,100.05
2024-02-08,109.37
2024-02-09,115.07
2024-02-10,139.36
2024-02-11,134.31
2024-02-12,101.56
2024-02-13,96.61
2024-02-14,95.71
2024-02-15,106.39
2024-02-16,105.61
2024-02-17,140.6
2024-02-18,122.24
2024-02-19,98.6
2024-02-20,94.87
2024-02-21,87.91
2024-02-22,123.02
2024-02-23,93.68
2024-02-24,130.83
2024-02-25,134.05
2024-02-26,121.65
2024-02-27,87.67
2024-02-28,114.27
2024-02-29,103.0
2024-03-01,112.76
2024-03-02,128.78
2024-03-03,144.42
2024-03-04,100.35
2024-03-05,103.97
2024-03-06,109.58
2024-03-07,124.62
2024-03-08,95.81
2024-03-09,147.4
2024-03-10,147.93
2024-03-11,106.63
2024-03-12,108.09
2024-03-13,104.07
2024-03-14,124.12
2024-03-15,117.78
2024-03-16,134.53
2024-03-17,139.58
2024-03-18,109.95
2024-03-19,105.29
2024-03-20,101.82
2024-03-21,128.47
2024-03-22,101.86
2024-03-23,108.45
2024-03-24,141.47
2024-03-25,111.43
2024-03-26,110.73
2024-03-27,108.26
2024-03-28,111.87
2024-03-29,120.86
2024-03-30,146.1
2024-03-31,139.92
2024-04-01,110.67
2024-04-02,124.32
2024-04-03,115.19
2024-04-04,106.22
2024-04-05,137.84
2024-04-06,145.61
2024-04-07,139.84
2024-04-08,105.3
2024-04-09,112.24
2024-04-10,105.34
2024-04-11,106.69
2024-04-12,109.93
2024-04-13,136.4
2024-04-14,154.46
2024-04-15,112.28
2024-04-16,99.3
2024-04-17,118.4
2024-04-18,116.73
2024-04-19,128.1
2024-04-20,151.11
2024-04-21,145.3
2024-04-22,115.64
2024-04-23,111.59
2024-04-24,105.02
2024-04-25,122.6
2024-04-26,133.38
2024-04-27,143.94
2024-04-28,145.8
2024-04-29,115.77
2024-04-30,106.76
2024-05-01,108.72
2024-05-02,115.09
2024-05-03,116.71
2024-05-04,140.1
2024-05-05,136.13
2024-05-06,121.7
2024-05-07,114.44
2024-05-08,106.98
2024-05-09,100.96
2024-05-10,124.44
2024-05-11,153.48
2024-05-12,143.93
2024-05-13,116.09
2024-05-14,110.55
2024-05-15,122.48
2024-05-16,113.07
2024-05-17,133.44
2024-05-18,143.28
2024-05-19,158.25
2024-05-20,121.26
2024-05-21,114.3
2024-05-22,106.47
2024-05-23,115.95
2024-05-24,124.51
2024-05-25,152.03
2024-05-26,153.86
2024-05-27,116.48
2024-05-28,120.48
2024-05-29,127.25
2024-05-30,121.31
2024-05-31,124.14
2024-06-01,144.65
2024-06-02,159.44
2024-06-03,127.41
2024-06-04,110.81
2024-06-05,123.4
2024-06-06,119.71
2024-06-07,122.69
2024-06-08,158.77
2024-06-09,160.57
2024-06-10,118.35
2024-06-11,119.93
2024-06-12,125.46
2024-06-13,119.48
2024-06-14,128.79
2024-06-15,155.23
2024-06-16,140.74
2024-06-17,127.82
2024-06-18,126.26
2024-06-19,126.53
2024-06-20,114.92
2024-06-21,133.35
2024-06-22,144.04
2024-06-23,160.66
2024-06-24,131.09
2024-06-25,123.13
2024-06-26,117.43
2024-06-27,121.97
2024-06-28,138.68
2024-06-29,144.81
2024-06-30,161.12
2024-07-01,131.39
2024-07-02,120.22
2024-07-03,143.76
2024-07-04,128.31
2024-07-05,150.07
2024-07-06,136.92
2024-07-07,140.25
2024-07-08,136.2
2024-07-09,128.59
2024-07-10,123.15
2024-07-11,128.37
2024-07-12,118.73
2024-07-13,149.07
2024-07-14,150.98
2024-07-15,127.63
2024-07-16,131.64
2024-07-17,127.12
2024-07-18,132.82
2024-07-19,129.41
2024-07-20,151.67
2024-07-21,161.2
2024-07-22,128.19
2024-07-23,135.72
2024-07-24,120.74
2024-07-25,146.03
2024-07-26,128.2
2024-07-27,164.68
2024-07-28,155.16
2024-07-29,144.69
2024-07-30,127.74
2024-07-31,131.99
2024-08-01,137.91
2024-08-02,132.02
2024-08-03,148.91
2024-08-04,146.19
2024-08-05,142.31
2024-08-06,122.13
2024-08-07,125.11
2024-08-08,132.75
2024-08-09,154.06
2024-08-10,144.47
2024-08-11,165.44
2024-08-12,130.43
2024-08-13,133.0
2024-08-14,116.51
2024-08-15,130.87
2024-08-16,145.92
2024-08-17,171.82
2024-08-18,177.27
2024-08-19,127.81
2024-08-20,130.24
2024-08-21,131.07
2024-08-22,124.09
2024-08-23,128.73
2024-08-24,166.46
2024-08-25,167.51
2024-08-26,134.56
2024-08-27,140.58
2024-08-28,124.99
2024-08-29,140.36
2024-08-30,141.38
2024-08-31,160.98
2024-09-01,170.52
2024-09-02,138.16
2024-09-03,134.03
2024-09-04,136.17
2024-09-05,152.71
2024-09-06,139.86
2024-09-07,170.6
2024-09-08,172.52
2024-09-09,135.0
2024-09-10,139.32
2024-09-11,128.24
2024-09-12,147.53
2024-09-13,136.92
2024-09-14,159.63
2024-09-15,171.28
2024-09-16,145.51
2024-09-17,141.26
2024-09-18,143.3
2024-09-19,137.64
2024-09-20,136.8
2024-09-21,169.0
2024-09-22,172.16
2024-09-23,132.28
2024-09-24,142.84
2024-09-25,138.79
2024-09-26,132.69
2024-09-27,149.03
2024-09-28,155.05
2024-09-29,163.78
2024-09-30,144.17
2024-10-01,123.64
2024-10-02,138.55
2024-10-03,130.59
2024-10-04,152.45
2024-10-05,160.88
2024-10-06,173.31
2024-10-07,129.98
2024-10-08,134.4
2024-10-09,146.88
2024-10-10,146.11
2024-10-11,132.89
2024-10-12,175.15
2024-10-13,180.04
2024-10-14,140.04
2024-10-15,149.54
2024-10-16,131.88
2024-10-17,142.82
2024-10-18,157.56
2024-10-19,179.28
2024-10-20,184.19
2024-10-21,135.35
2024-10-22,125.01
2024-10-23,144.53
2024-10-24,133.1
2024-10-25,148.65
2024-10-26,159.6
2024-10-27,183.49
2024-10-28,151.58
2024-10-29,144.75
2024-10-30,142.59
2024-10-31,145.97
